2018-03-22 11:02:21,010 [Worker-32] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://192.168.252.49:8081/nexus/content/groups/public/org/apache/maven/plugins/maven-war-plugin/3.0.0/maven-war-plugin-3.0.0.pom
2018-03-22 11:02:21,588 [Worker-32] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://192.168.252.49:8081/nexus/content/groups/public/com/thoughtworks/xstream/xstream/1.4.9/xstream-1.4.9.pom
2018-03-22 11:02:21,600 [Worker-32] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://192.168.252.49:8081/nexus/content/groups/public/com/thoughtworks/xstream/xstream/1.4.9/xstream-1.4.9.pom
2018-03-22 11:02:21,613 [Worker-32] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://192.168.252.49:8081/nexus/content/groups/public/com/thoughtworks/xstream/xstream-parent/1.4.9/xstream-parent-1.4.9.pom
2018-03-22 11:02:21,630 [Worker-32] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://192.168.252.49:8081/nexus/content/groups/public/com/thoughtworks/xstream/xstream-parent/1.4.9/xstream-parent-1.4.9.pom
2018-03-22 11:02:21,783 [Worker-32] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://192.168.252.49:8081/nexus/content/groups/public/org/apache/maven/shared/maven-mapping/3.0.0/maven-mapping-3.0.0.pom
2018-03-22 11:02:21,795 [Worker-32] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://192.168.252.49:8081/nexus/content/groups/public/org/apache/maven/shared/maven-mapping/3.0.0/maven-mapping-3.0.0.pom
2018-03-22 11:02:22,407 [Worker-32] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://192.168.252.49:8081/nexus/content/groups/public/com/thoughtworks/xstream/xstream/1.4.9/xstream-1.4.9.jar
2018-03-22 11:02:22,471 [Worker-32] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://192.168.252.49:8081/nexus/content/groups/public/com/thoughtworks/xstream/xstream/1.4.9/xstream-1.4.9.jar
2018-03-22 11:02:22,507 [Worker-32] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloading http://192.168.252.49:8081/nexus/content/groups/public/org/apache/maven/shared/maven-mapping/3.0.0/maven-mapping-3.0.0.jar
2018-03-22 11:02:22,517 [Worker-32] INFO  o.e.m.c.i.e.AbstractTransferListenerAdapter - Downloaded http://192.168.252.49:8081/nexus/content/groups/public/org/apache/maven/shared/maven-mapping/3.0.0/maven-mapping-3.0.0.jar
2018-03-22 11:02:23,784 [Worker-32] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /mlsc-ssm-web/src
2018-03-22 11:02:23,785 [Worker-32] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /mlsc-ssm-web/src/test/java because it overlaps with /mlsc-ssm-web/src
2018-03-22 11:02:24,039 [Worker-32] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2018-03-22 11:02:24,209 [Worker-32] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.maven.ide.eclipse.wtp.WarLifecycleMapping lifecycle mapping for MavenProject: mlsc-ssm-web:mlsc-ssm-web:0.0.1-SNAPSHOT @ D:\myWorkSpace\mlsc-ssm-web\pom.xml.
2018-03-22 11:02:24,598 [Worker-32] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /mlsc-ssm-web/src
2018-03-22 11:02:24,598 [Worker-32] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /mlsc-ssm-web/src/test/java because it overlaps with /mlsc-ssm-web/src
2018-03-22 11:02:24,746 [Worker-32] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Cleaning filtered folder for mlsc-ssm-web
2018-03-22 11:02:24,751 [Worker-32] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 0 sec
2018-03-22 11:02:25,027 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-22 11:02:25,028 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\myWorkSpace\mlsc-ssm-web\src\main\resources
2018-03-22 11:02:25,030 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-22 11:02:25,030 [Worker-33] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\myWorkSpace\mlsc-ssm-web\src\test\resources
2018-03-22 11:02:25,031 [Worker-33] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Changed resources require a complete clean of filtered resources of mlsc-ssm-web
2018-03-22 11:02:25,032 [Worker-33] INFO  o.e.m.w.i.f.ResourceFilteringBuildParticipant - Executing resource filtering for mlsc-ssm-web
2018-03-22 11:02:25,057 [Worker-33] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-22 11:03:43,894 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-22 11:03:43,894 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\myWorkSpace\mlsc-ssm-web\src\main\resources
2018-03-22 11:03:43,895 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-22 11:03:43,895 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\myWorkSpace\mlsc-ssm-web\src\test\resources
2018-03-22 11:04:02,493 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-22 11:04:02,494 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\myWorkSpace\mlsc-ssm-web\src\main\resources
2018-03-22 11:04:02,494 [Worker-30] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-22 11:04:02,496 [Worker-30] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2018-03-22 11:04:14,237 [Worker-35] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (GBK actually) to copy filtered resources, i.e. build is platform dependent!
2018-03-22 11:04:14,239 [Worker-35] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory D:\myWorkSpace\mlsc-ssm-web\src\main\resources
